Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:40.673888;0.029207319;0.004587568;0.002720153;1.914578645;0.00952256;1;0;0;
17:16:40.684796;0.029207319;0.003670055;0.002735826;1.914622144;0.006418544;1;0;0;
17:16:40.695350;0.029207319;0.002936044;0.002750747;1.914666725;0.00529745;1;0;0;
17:16:40.705797;0.029207319;0.002348835;0.002763218;1.914707105;0.004200757;1;0;0;
17:16:40.715690;0.029207319;0.001879068;0.00277504;1.914748927;0.00347775;1;0;0;
17:16:40.726397;0.029207319;0.001503254;0.00278469;1.914786579;0.003321005;1;0;0;
17:16:40.737148;0.029207319;0.001202604;0.002793474;1.914824762;0.003023262;1;0;0;
17:16:40.746766;0.029207319;0.000962083;0.002800716;1.914860347;0.003501513;1;0;0;
17:16:40.758509;0.029207319;0.000769666;0.002806943;1.914895525;-0.000113086;1;0;0;
17:16:40.768552;0.029207319;0.000615733;0.002812322;1.914931537;-0.001939745;1;0;0;
17:16:40.779107;0.029207319;0.000492586;0.00281646;1.91496571;-0.004766319;1;0;0;
17:16:40.789740;0.029207319;0.000394069;0.002819552;1.914998987;-0.003798285;1;0;0;
17:16:40.800302;0.029207319;0.000315255;0.002821623;1.915031007;-0.00166203;1;0;0;
17:16:40.810409;0.029207319;0.000252204;0.002822761;1.915062207;-0.001377625;1;0;0;
17:16:40.821987;0.029207319;0.000201763;0.002823005;1.915092773;-0.001760022;1;0;0;
17:16:40.837822;0.029207319;0.000161411;0.002822452;1.915120701;-0.000383799;1;0;0;
17:16:40.845478;0.029207319;0.000129129;0.002820661;1.915156025;0.000270243;1;0;0;
17:16:40.854917;0.029207319;0.000103303;0.002818453;1.915182939;0.001271638;1;0;0;
17:16:40.865454;0.029207319;8.26E-05;0.002815644;1.915208654;-7.66E-05;1;0;0;
17:16:40.875132;0.029207319;6.61E-05;0.002812238;1.915233691;-0.001040534;1;0;0;
17:16:40.885812;0.029207319;5.29E-05;0.002808225;1.915258326;-0.000858935;1;0;0;
17:16:40.896159;0.029207319;4.23E-05;0.002803604;1.915282658;0.000513614;1;0;0;
17:16:40.907089;0.029207319;3.39E-05;0.002798143;1.915307742;0.001618502;1;0;0;
17:16:40.917810;0.029207319;2.71E-05;0.002792168;1.915332033;0.00231306;1;0;0;
17:16:40.928795;0.029207319;2.17E-05;0.002785727;1.915355555;0.002628631;1;0;0;
17:16:40.938625;0.029207319;1.73E-05;0.002779252;1.9153771;0.002219394;1;0;0;
17:16:40.949153;0.029207319;1.39E-05;0.002772109;1.91539897;0.001847576;1;0;0;
17:16:40.959698;0.029207319;1.11E-05;0.002764427;1.915420725;0.001880895;1;0;0;
17:16:40.969892;0.029207319;8.87E-06;0.002756756;1.915440967;0.002437743;1;0;0;
17:16:40.979743;0.029207319;7.10E-06;0.002748342;1.91546177;0.002825459;1;0;0;
17:16:40.990338;0.029207319;5.68E-06;0.002739556;1.915482186;0.00334876;1;0;0;
17:16:41.001866;0.029207319;4.54E-06;0.002730356;1.915502363;0.003697299;1;0;0;
17:16:41.012365;0.029207319;3.63E-06;0.002721445;1.915520903;0.004273837;1;0;0;
17:16:41.022581;0.029207319;2.91E-06;0.002711777;1.915540058;0.004847318;1;0;0;
17:16:41.032602;0.029207319;2.33E-06;0.002701912;1.915558706;0.005307773;1;0;0;
17:16:41.043147;0.029207319;1.86E-06;0.002691661;1.915577246;0.005603113;1;0;0;
17:16:41.054546;0.029207319;1.49E-06;0.002681035;1.915595668;0.005491667;1;0;0;
17:16:41.065503;0.029207319;1.19E-06;0.002670101;1.915613879;0.00592971;1;0;0;
17:16:41.076293;0.029207319;9.53E-07;0.002658991;1.915631692;0.005794525;1;0;0;
